source,id,scientificName,species,decimalLatitude,decimalLongitude,depth,minimumDepthInMeters,maximumDepthInMeters,eventDate,year,country,region,basisOfRecord,datasetKey,datasetName,datasetDOI,publisher,publishingOrgKey,institutionCode,license,license_raw,occurrenceID,qc_flags,usable_mapa
GBIF,4081147129,"Grimpoteuthis G.C.Robson, 1932",,-46.609,165.640333,625.5,609,642,2019-11-18,2019,New Zealand,Pacífico Sur,PRESERVED_SPECIMEN,4d0b1b2a-3209-49ce-bb93-7503e4868019,Earth Sciences New Zealand National Invertebrate Collection (NIC),10.15468/6qgswo,Earth Sciences New Zealand (ESNZ),c58ac019-b413-4613-8772-39e57acbeb8e,Earth Sciences New Zealand,CC-BY,http://creativecommons.org/licenses/by/4.0/legalcode,c40b3388-b910-4138-96a0-26b5c2617661,,si
GBIF,2416973283,"Grimpoteuthis G.C.Robson, 1932",,33.696343,-118.372656,406.2,406.2,406.2,2018-10-10,2018,United States of America,Pacífico Norte,PRESERVED_SPECIMEN,a267b6a7-91f9-457c-889a-481e7aa920b6,SIO Benthic Invertebrate Collection,10.15468/4w9oc7,Scripps Institution of Oceanography,b1b3786f-e9b0-4da6-8472-a21a2d7fe48c,SIO,CC0,http://creativecommons.org/publicdomain/zero/1.0/legalcode,urn:catalog:SIO:BIC:M17639,profundidad_<500m_revisar,si
GBIF,5892335301,"Grimpoteuthis G.C.Robson, 1932",,10.5864,140.1248,,,,2017-08-21,2017,Micronesia (Federated States of),Pacífico Norte,MATERIAL_CITATION,98445a0a-ac91-42fc-829c-fe340ff1383b,"Flying in the deep: the description of a new species of Grimpoteuthis (Octopoda: Cirrata: Grimpoteuthidae) from the Caroline Seamount, with ecological adaptation of dumbo octopuses",10.15468/gc8xb8,Plazi.org taxonomic treatments database,7ce8aef0-9e92-11dc-8738-b8a03c50a862,MBM,CC0,http://creativecommons.org/publicdomain/zero/1.0/legalcode,03949174FFA6FFD6FCA0F9651DA1F8FC.mc.3B552A3FFFA6FFD5FBA0F8811FF8F925,sin_profundidad,si
GBIF,4055757683,"Grimpoteuthis imperator A.Ziegler & Sagorny, 2021",Grimpoteuthis imperator,48.458833,168.870167,4165,3913,4417,2016-07-05,2016,,Pacífico Norte,PRESERVED_SPECIMEN,2f7c33b3-ea7a-40ac-a3b7-bace96f978f7,Type locality distributions from the World Register of Marine Species,10.15468/nmcdsv,Flanders Marine Institute,2089ce96-4fb5-4a20-999c-3ccf45a27a4d,WoRMS Editorial Board,CC-BY,http://creativecommons.org/licenses/by/4.0/legalcode,WoRMS Editorial Board:WoRMS type localities:sm_id_147513,localidad_tipo_WoRMS_posible_duplicado_de_especimen,si
GBIF,1945667433,"Grimpoteuthis G.C.Robson, 1932",,1.883506,-92.133182,1335.85,1335.85,1335.85,2015-07-02T08:13:55,2015,Ecuador,Pacífico Norte,HUMAN_OBSERVATION,3a288cf3-4038-4759-a2d9-4541b10e41e3,Video transect framegrabs,10.15468/kpjavv,Deep-sea OBIS node,f0d23bad-fee1-435d-bdb6-d26a600cad62,CDF,CC-BY,http://creativecommons.org/licenses/by/4.0/legalcode,H1440_081355_Grimpoteuthis sp. indet.,,si
GBIF,3031151948,"Grimpoteuthis wuelkeri (Grimpe, 1920)",Grimpoteuthis wuelkeri,56.77611,-9.16361,2002,2000,2004,2015-09-12,2015,United Kingdom of Great Britain and Northern Ireland,Atlántico Norte,PRESERVED_SPECIMEN,7e380070-f762-11e1-a439-00145eb45e9a,Natural History Museum (London) Collection Specimens,10.5519/qd.20dz6blc,Natural History Museum,19456090-b49a-11d8-abeb-b8a03c50a862,NHMUK,CC0,http://creativecommons.org/publicdomain/zero/1.0/legalcode,6d2d171f-67ce-4804-b129-45602666ff68,,si
GBIF,2447270446,"Grimpoteuthis G.C.Robson, 1932",,-73.15886,-129.894958,440,440,440,2013-01,2013,Antarctica,Océano Austral,PRESERVED_SPECIMEN,7eae038e-7a8e-492e-a4dc-43238cce7c52,Auburn University Museum of Natural History Malacology Collection,10.15468/fpdfbl,Auburn University Museum,34cc6c50-812c-11de-86fe-b8a03c50a862,AUM,CC0,http://creativecommons.org/publicdomain/zero/1.0/legalcode,40c83fe7-4111-45fd-a01b-a1973e75eb45,profundidad_<500m_revisar,si
GBIF,2447273813,"Grimpoteuthis G.C.Robson, 1932",,-73.15886,-129.894958,440,440,440,2013-01,2013,Antarctica,Océano Austral,PRESERVED_SPECIMEN,7eae038e-7a8e-492e-a4dc-43238cce7c52,Auburn University Museum of Natural History Malacology Collection,10.15468/fpdfbl,Auburn University Museum,34cc6c50-812c-11de-86fe-b8a03c50a862,AUM,CC0,http://creativecommons.org/publicdomain/zero/1.0/legalcode,754bdefa-01b7-47cd-8ce1-3904728b7792,profundidad_<500m_revisar,si
GBIF,4081109050,"Grimpoteuthis innominata (O'Shea, 1999)",Grimpoteuthis innominata,-42.585667,179.424833,2100,2098,2102,2012-06-16,2012,New Zealand,Pacífico Sur,PRESERVED_SPECIMEN,4d0b1b2a-3209-49ce-bb93-7503e4868019,Earth Sciences New Zealand National Invertebrate Collection (NIC),10.15468/6qgswo,Earth Sciences New Zealand (ESNZ),c58ac019-b413-4613-8772-39e57acbeb8e,Earth Sciences New Zealand,CC-BY,http://creativecommons.org/licenses/by/4.0/legalcode,6162d6aa-fa36-11e2-96b3-aa6f927c92a3,,si
GBIF,4081109112,"Grimpoteuthis innominata (O'Shea, 1999)",Grimpoteuthis innominata,-42.585667,179.424833,2100,2098,2102,2012-06-16,2012,New Zealand,Pacífico Sur,PRESERVED_SPECIMEN,4d0b1b2a-3209-49ce-bb93-7503e4868019,Earth Sciences New Zealand National Invertebrate Collection (NIC),10.15468/6qgswo,Earth Sciences New Zealand (ESNZ),c58ac019-b413-4613-8772-39e57acbeb8e,Earth Sciences New Zealand,CC-BY,http://creativecommons.org/licenses/by/4.0/legalcode,616a240a-fa36-11e2-96b3-aa6f927c92a3,,si
